Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,NTD Reporter Type,Primary UZA Population,Agency VOMS,Mode,Type of Service,Mode VOMS,Mode VOMS Questionable,Max Trains in Operation,Max Trains in Operation Questionable,Average Speed (mi/hr),Average Speed (mi/hr) Questionable,Average Passenger Trip Length (mi),Average Passenger Trip Length (mi) Questionable,Passengers per Hour,Passengers per Hour Questionable,Scheduled Vehicle Revenue Miles,Scheduled Vehicle Revenue Miles Questionable,Vehicle Miles,Vehicle Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Deadhead Miles, Deadhead Miles Questionable ,Vehicle Hours, Vehicle Hours Questionable ,Vehicle Revenue Hours, Vehicle Revenue Hours Questionable ,Deadhead Hours, Deadhead Hours Questionable ,Train Miles, Train Miles Questionable ,"Train 
Revenue
Miles", Train Revenue Miles Questionable ,Train Hours, Train Hours Questionable ,"Train 
Revenue 
Hours", Train Revenue Hours Questionable ,Unlinked Passenger Trips, Unlinked Passenger Trips Questionable ,Passenger Miles,Passenger Miles Questionable,Directional Route Miles,Directional Route Miles Questionable,Any data questionable
"City and Borough of Juneau, dba: Capital Transit",Juneau,AK,0R04-005,0R04-00391,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,26,MB,DO,18,,0,,15.9,, -   ,,21.69,,0,,0,,597013,,0,,0,,37555,,0,,0,,0,,0,,0,,814712,,0,,0,,No
MIDAS Council of Governments,Fort Dodge,IA,7R01-005,7R01-70256,Independent Public Agency or Authority of Transit Service,Rural Reporter,0,25,DR,DO,25,,0,,10.41,, -   ,,4.97,,0,,0,,218332,,0,,0,,20981,,0,,0,,0,,0,,0,,104334,,0,,0,,No
Clinton Area Transit System,St. Johns,MI,5R03-023,5R03-50314,Independent Public Agency or Authority of Transit Service,Rural Reporter,0,25,DR,DO,25,,0,,21.83,, -   ,,1.9,,0,,0,,473118,,0,,0,,21671,,0,,0,,0,,0,,0,,41188,,0,,0,,No
McLennan County,Waco,TX,,6R05-66276,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,25,DR,PT,7,,0,,16.63,, -   ,,1.05,,0,,0,,63930,,0,,0,,3845,,0,,0,,0,,0,,0,,4029,,0,,0,,No
McLennan County,Waco,TX,,6R05-66276,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,25,DR,DO,16,,0,,24.51,, -   ,,1.26,,0,,0,,408006,,0,,0,,16644,,0,,0,,0,,0,,0,,20904,,0,,0,,No
McLennan County,Waco,TX,,6R05-66276,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,25,CB,DO,2,,0,,21.53,, -   ,,2.73,,0,,0,,92874,,0,,0,,4313,,0,,0,,0,,0,,0,,11788,,0,,0,,No
"Regional Transportation Program, Inc.",Portland,ME,1069,10069,Private-Non-Profit Corporation,Reduced Reporter,"203,914",25,DR,DO,25,,0,,16.27,, -   ,,2.17,,0,,0,,394921,,0,,0,,24267,,0,,0,,0,,0,,0,,52562,,0,,0,,No
"Lowcountry Regional Transportation Authority, dba: Palmetto Breeze",Bluffton,SC,4R07-007,41092,Independent Public Agency or Authority of Transit Service,Reduced Reporter,"68,998",25,MB,DO,5,,0,,15.79,, -   ,,4.41,,0,,0,,77871,,0,,0,,4933,,0,,0,,0,,0,,0,,21768,,0,,0,,No
"Lowcountry Regional Transportation Authority, dba: Palmetto Breeze",Bluffton,SC,4R07-007,41092,Independent Public Agency or Authority of Transit Service,Reduced Reporter,"68,998",25,DR,DO,10,,0,,18.7,, -   ,,2.01,,0,,0,,174689,,0,,0,,9343,,0,,0,,0,,0,,0,,18759,,0,,0,,No
"Lowcountry Regional Transportation Authority, dba: Palmetto Breeze",Bluffton,SC,4R07-007,41092,Independent Public Agency or Authority of Transit Service,Reduced Reporter,"68,998",25,CB,DO,10,,0,,23.29,, -   ,,9.58,,0,,0,,415118,,0,,0,,17824,,0,,0,,0,,0,,0,,170763,,0,,0,,No
"Four County Mental Health, Inc.",Independence,KS,7R02-124,7R02-70209,Private-Non-Profit Corporation,Rural Reporter,0,25,DR,DO,25,,0,,19.79,, -   ,,1.33,,0,,0,,656953,,0,,0,,33189,,0,,0,,0,,0,,0,,44301,,0,,0,,No
"Central Florida Commuter Rail, dba: SunRail",Tallahassee,FL,4232,40232,State Government Unit or Department of Transportation,Full Reporter,"1,510,516",25,CR,PT,25,,7,,27.88,,16.66,,36.11,,"961,119",,"987,220",,959969,,"27,251",,"35,457",,34438,,"1,019",,"486,222",,"472,840",,"17,449",,"16,961",,1243563,,"20,712,830",,97.9,,No
"City of Galveston, dba: Island Transit",Galveston,TX,6015,60015,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"54,770",25,MB,DO,10,,0,,12.71,, -   ,,9.71,,0,,0,,307363,,0,,0,,24182,,0,,0,,0,,0,,0,,234892,,0,,0,,No
"City of Galveston, dba: Island Transit",Galveston,TX,6015,60015,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"54,770",25,DR,TX,15,,0,,16.91,, -   ,,4.61,,0,,0,,67916,,0,,0,,4017,,0,,0,,0,,0,,0,,18504,,0,,0,,No
"City of Johnson City, dba: Johnson City Transit System",Johnson City,TN,4054,40054,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"120,415",25,MB,DO,15,,0,,13.45,, -   ,,15.07,,0,,0,,398948,,0,,0,,29657,,0,,0,,0,,0,,0,,446961,,0,,0,,No
"MAGB Transportation, Inc.",Fairview,OK,,6R04-66274,Private-Non-Profit Corporation,Rural Reporter,0,25,DR,DO,25,,0,,18.13,, -   ,,0.59,,0,,0,,745699,,0,,0,,41126,,0,,0,,0,,0,,0,,24448,,0,,0,,No
"City of Johnson City, dba: Johnson City Transit System",Johnson City,TN,4054,40054,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"120,415",25,DR,DO,10,,0,,15.01,, -   ,,2.6,,0,,0,,211628,,0,,0,,14103,,0,,0,,0,,0,,0,,36616,,0,,0,,No
Bis-Man Transit Board,Bismarck,ND,8019,80019,Independent Public Agency or Authority of Transit Service,Reduced Reporter,"81,955",25,MB,PT,6,,0,,16.72,, -   ,,3.01,,0,,0,,307701,,0,,0,,18400,,0,,0,,0,,0,,0,,55445,,0,,0,,No
Baker Council on Aging,Macclenny,FL,4R02-002,4R02-41170,Private-Non-Profit Corporation,Rural Reporter,0,25,MB,DO,4,,0,,18.22,, -   ,,0.87,,0,,0,,85292,,0,,0,,4680,,0,,0,,0,,0,,0,,4069,,0,,0,,No
Northeast KY Area Development Council,Olive Hill,KY,4R04-014,4R04-41094,Private-Non-Profit Corporation,Rural Reporter,0,25,DR,DO,25,,0,,18.38,, -   ,,1.86,,0,,0,,572755,,0,,0,,31156,,0,,0,,0,,0,,0,,57987,,0,,0,,No
Bis-Man Transit Board,Bismarck,ND,8019,80019,Independent Public Agency or Authority of Transit Service,Reduced Reporter,"81,955",25,DR,PT,19,,0,,13.18,, -   ,,2.49,,0,,0,,378456,,0,,0,,28715,,0,,0,,0,,0,,0,,71635,,0,,0,,No
Baker Council on Aging,Macclenny,FL,4R02-002,4R02-41170,Private-Non-Profit Corporation,Rural Reporter,0,25,DR,DO,21,,0,,18.37,, -   ,,0.99,,0,,0,,314732,,0,,0,,17131,,0,,0,,0,,0,,0,,16898,,0,,0,,No
"City of Columbia, dba: Go COMO",Columbia,MO,7016,70016,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"124,748",25,MB,DO,16,,0,,13.56,,2.76,,16.7,,"386,718",,"371,406",,364228,,"7,178",,"29,403",,26855,,"2,548",,0,,0,,0,,0,,448364,,"1,236,724",,98.2,,No
"Southwest Oklahoma Community Action Group, Inc., dba: Southwest Transit",Altus,OK,6R04-018,6R04-60233,Private-Non-Profit Corporation,Rural Reporter,0,25,DR,DO,25,,0,,12.1,, -   ,,2.32,,0,,0,,279303,,0,,0,,23089,,0,,0,,0,,0,,0,,53567,,0,,0,,No
"Connecticut Department of Transportation - CTTransit New Britain -Dattco., dba: DATTCO",New Britain,CT,1045,10045,Private Provider Reporting on Behalf of a Public Entity,Full Reporter,"924,859",25,MB,PT,5,,0,,9.6,,5.13,,6.68,,"214,550",,"218,010",,195121,,"22,889",,"21,596",,20328,,"1,268",,0,,0,,0,,0,,135858,,"696,952",,20.3,,No
"City of Columbia, dba: Go COMO",Columbia,MO,7016,70016,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"124,748",25,DR,DO,9,,0,,12.43,,3.72, Q ,2.4,,0,,"217,933",,197044,,"20,889",,"18,750",,15853,,"2,897",,0,,0,,0,,0,,38056,,"141,656",Q,0,,Yes
"Tri-County Action Program, Inc.",Waite Park,MN,5R04-019,5R04-50474,Independent Public Agency or Authority of Transit Service,Rural Reporter,0,25,MB,DO,15,,0,,15.05,, -   ,,3.12,,0,,0,,235665,,0,,0,,15654,,0,,0,,0,,0,,0,,48816,,0,,0,,No
"Connecticut Department of Transportation - CTTransit New Britain -Dattco., dba: DATTCO",New Britain,CT,1045,10045,Private Provider Reporting on Behalf of a Public Entity,Full Reporter,"924,859",25,CB,PT,20,,0,,16.93,,25.12,,3.84,,"800,000",,"1,078,956",,760204,,"318,752",,"52,449",,44907,,"7,542",,0,,0,,0,,0,,172550,,"4,334,757",,225,,No
County of Mercer,Trenton,NJ,2211,20211,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"296,668",25,DR,DO,25,,0,,13.73,, -   ,,2.97,,0,,0,,256496,,0,,0,,18687,,0,,0,,0,,0,,0,,55564,,0,,0,,No
"Tri-County Action Program, Inc.",Waite Park,MN,5R04-019,5R04-50474,Independent Public Agency or Authority of Transit Service,Rural Reporter,0,25,DR,DO,10,,0,,9.96,, -   ,,2.96,,0,,0,,203870,,0,,0,,20467,,0,,0,,0,,0,,0,,60606,,0,,0,,No
Greater Lynchburg Transit Company,Lynchburg,VA,3008,30008,Independent Public Agency or Authority of Transit Service,Full Reporter,"116,636",25,MB,DO,17,,0,,14.86,,4.45, W ,10.68,,"876,248",,"984,518",,956528,,"27,990",,"65,588",,64371,,"1,217",,0,,0,,0,,0,,687159,,"3,056,696",W,219.5,,Yes
Morris County Human Services,Morristown,NJ,2210,20210,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"18,351,295",25,DR,DO,25,,0,,16.85,, -   ,,1.78,,0,,0,,203410,,0,,0,,12072,,0,,0,,0,,0,,0,,21540,,0,,0,,No
Greater Lynchburg Transit Company,Lynchburg,VA,3008,30008,Independent Public Agency or Authority of Transit Service,Full Reporter,"116,636",25,DR,DO,8,,0,,10.91,,5.92,,1.51,,0,,"158,089",,134852,,"23,237",,"14,153",,12363,,"1,790",,0,,0,,0,,0,,18654,,"110,512",,0,,No
"Athens-Clarke County Unified Government, dba: Athens-Clarke County Transit Department",Athens,GA,4047,40047,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"128,754",25,MB,DO,22,,0,,11.43,,3.63,,17.6,,"946,585",,"935,613",,869004,,"66,609",,"78,494",,76050,,"2,444",,0,,0,,0,,0,,1338285,,"4,857,975",,168,,No
"County of Lebanon Transit Authority, dba: Lebanon Transit",Lebanon,PA,3095,30095,Independent Public Agency or Authority of Transit Service,Full Reporter,"77,086",25,MB,DO,13,,0,,17.27,,4.58,,8.76,,"488,301",,"489,943",,489943,,0,,"28,365",,28365,,0,,0,,0,,0,,0,,248344,,"1,137,415",,243.4,,No
Cadillac/Wexford Transit Authority,Cadillac,MI,5R03-017,5R03-50374,Independent Public Agency or Authority of Transit Service,Rural Reporter,0,25,DR,DO,25,,0,,18.89,, -   ,,2.27,,0,,0,,910984,,0,,0,,48233,,0,,0,,0,,0,,0,,109464,,0,,0,,No
"Athens-Clarke County Unified Government, dba: Athens-Clarke County Transit Department",Athens,GA,4047,40047,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"128,754",25,DR,DO,3,,0,,10.16,,5.82,,1.08,,0,,"56,876",,50635,,"6,241",,"5,384",,4985,,399,,0,,0,,0,,0,,5398,,"31,430",,0,,No
"County of Lebanon Transit Authority, dba: Lebanon Transit",Lebanon,PA,3095,30095,Independent Public Agency or Authority of Transit Service,Full Reporter,"77,086",25,DR,DO,12,,0,,15.2,,8.68,,2.71,,0,,"256,294",,220162,,"36,132",,"16,923",,14489,,"2,434",,0,,0,,0,,0,,39333,,"341,522",,0,,No
Claiborne County Human Resource Agency,Port Gibson,MS,4R05-003,4R05-41096,Private-Non-Profit Corporation,Rural Reporter,0,25,DR,DO,25,,0,,39.05,, -   ,,3.07,,0,,0,,704446,,0,,0,,18040,,0,,0,,0,,0,,0,,55325,,0,,0,,No
"Montrose County Seniors, dba: All Points Transit",Montrose,CO,,8R01-88215,Private-Non-Profit Corporation,Rural Reporter,0,25,MB,DO,6,,0,,10.22,, -   ,,2.8,,0,,0,,62163,,0,,0,,6083,,0,,0,,0,,0,,0,,17059,,0,,0,,No
"City of Montgomery, dba: Montgomery Transit - The M ",Montgomery,AL,4044,40044,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"263,907",25,MB,DO,19,,0,,16.37,,4.37,,5.99,,"1,269,182",,"1,264,644",,1250144,,"14,500",,"77,490",,76360,,"1,130",,0,,0,,0,,0,,457082,,"1,997,448",,305,,No
"Montrose County Seniors, dba: All Points Transit",Montrose,CO,,8R01-88215,Private-Non-Profit Corporation,Rural Reporter,0,25,DR,DO,19,,0,,12.85,, -   ,,1.4,,0,,0,,218603,,0,,0,,17015,,0,,0,,0,,0,,0,,23804,,0,,0,,No
"Lake Erie Transportation Commission, dba: Lake Erie Transit",Monroe,MI,,50522,Independent Public Agency or Authority of Transit Service,Full Reporter,"51,240",25,MB,DO,8,,0,,11.55,,3.08,,11.3,,"237,342",,"223,380",,216975,,"6,405",,"19,293",,18784,,509,,0,,0,,0,,0,,212234,,"652,775",,61.3,,No
"City of Montgomery, dba: Montgomery Transit - The M ",Montgomery,AL,4044,40044,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"263,907",25,DR,DO,6,,0,,12.26,,10.84,,1.12,,0,,"220,937",,205470,,"15,467",,"18,253",,16758,,"1,495",,0,,0,,0,,0,,18726,,"202,921",,0,,No
"Lake Erie Transportation Commission, dba: Lake Erie Transit",Monroe,MI,,50522,Independent Public Agency or Authority of Transit Service,Full Reporter,"51,240",25,DR,DO,17,,0,,14.88,,5.28,,4.52,,0,,"376,391",,335454,,"40,937",,"25,746",,22543,,"3,203",,0,,0,,0,,0,,101811,,"537,990",,0,,No
"Union County, dba: Union County Transportation",Monroe,NC,4215,40215,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"1,249,442",25,DR,PT,1,,0,,20.19,, -   ,,0.82,,0,,0,,21477,,0,,0,,1064,,0,,0,,0,,0,,0,,876,,0,,0,,No
Treasure Valley Transit,Nampa,ID,0R01-012,373,Private-Non-Profit Corporation,Reduced Reporter,"151,499",25,MB,DO,10,,0,,22.47,, -   ,,3.6,,0,,0,,352829,,0,,0,,15704,,0,,0,,0,,0,,0,,56456,,0,,0,,No
"Union County, dba: Union County Transportation",Monroe,NC,4215,40215,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"1,249,442",25,DR,DO,24,,0,,15.28,, -   ,,1.59,,0,,0,,652347,,0,,0,,42688,,0,,0,,0,,0,,0,,67776,,0,,0,,No
Treasure Valley Transit,Nampa,ID,0R01-012,373,Private-Non-Profit Corporation,Reduced Reporter,"151,499",25,DR,DO,15,,0,,10.97,, -   ,,1.75,,0,,0,,201162,,0,,0,,18338,,0,,0,,0,,0,,0,,32071,,0,,0,,No
Lee-Russell Council of Governments,Opelika,AL,4073,40073,"MPO, COG or Other Planning Agency",Reduced Reporter,"74,741",24,DR,DO,21,,0,,14.98,, -   ,,2.04,,0,,0,,460885,,0,,0,,30761,,0,,0,,0,,0,,0,,62867,,0,,0,,No
Access Johnson County,Franklin,IN,5R02-036,50256,Private-Non-Profit Corporation,Reduced Reporter,"1,487,483",24,DR,DO,16,,0,,14.43,, -   ,,1.26,,0,,0,,433317,,0,,0,,30028,,0,,0,,0,,0,,0,,37905,,0,,0,,No
Clare County Transit,Harrison,MI,5R03-022,5R03-50453,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,24,DR,DO,24,,0,,19.33,, -   ,,2.67,,0,,0,,383509,,0,,0,,19843,,0,,0,,0,,0,,0,,52910,,0,,0,,No
"City of Charlottesville, dba: Charlottesville Area Transit",Charlottesville,VA,3036,30036,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"92,359",24,MB,DO,24,,0,,9.21,, -   ,,13.35,,0,,0,,912447,,0,,0,,99096,,0,,0,,0,,0,,0,,1323176,,0,,0,,No
"Unified Human Services Transportation Systems, Inc, dba: RADAR Transit",Roanoke,VA,3R06-021,3R06-30178,Private-Non-Profit Corporation,Rural Reporter,0,24,DR,DO,24,,0,,16.95,, -   ,,2.88,,0,,0,,334316,,0,,0,,19729,,0,,0,,0,,0,,0,,56773,,0,,0,,No
Flint Hills Area Transportation,Manhattan,KS,7053,70053,Private-Non-Profit Corporation,Reduced Reporter,"54,622",24,MB,DO,16,,0,,14.04,, -   ,,5.3,,0,,0,,562379,,0,,0,,40055,,0,,0,,0,,0,,0,,212219,,0,,0,,No
"City of Pueblo, dba: Pueblo Transit",Pueblo,CO,8007,80007,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"136,550",24,MB,DO,13,,0,,13.87,,3.94, W ,12.9,,"544,539",,"505,931",,501889,,"4,042",,"36,894",,36173,,721,,0,,0,,0,,0,,466709,,"1,836,844",W,117.3,,Yes
Flint Hills Area Transportation,Manhattan,KS,7053,70053,Private-Non-Profit Corporation,Reduced Reporter,"54,622",24,DR,DO,8,,0,,16.53,, -   ,,2.4,,0,,0,,182299,,0,,0,,11029,,0,,0,,0,,0,,0,,26485,,0,,0,,No
Berkeley Charleston Dorchester RTMA,Moncks Corner,SC,4206,40206,Independent Public Agency or Authority of Transit Service,Reduced Reporter,"548,404",24,MB,DO,24,,0,,20.28,, -   ,,1.8,,0,,0,,814355,,0,,0,,40165,,0,,0,,0,,0,,0,,72348,,0,,0,,No
"City of Pueblo, dba: Pueblo Transit",Pueblo,CO,8007,80007,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"136,550",24,DR,PT,11,,0,,13.67,,4.3,,2.35,,0,,"213,636",,174443,,"39,193",,"14,868",,12757,,"2,111",,0,,0,,0,,0,,29950,,"128,872",,0,,No
"City of Amarillo, dba: Amarillo City Transit",Amarillo,TX,6001,60001,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"196,651",24,MB,DO,16,,0,,13.05,, -   ,,4.75,,0,,0,,534133,,0,,0,,40941,,0,,0,,0,,0,,0,,194545,,0,,0,,No
"City of Amarillo, dba: Amarillo City Transit",Amarillo,TX,6001,60001,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"196,651",24,DR,DO,8,,0,,14.59,, -   ,,2.07,,0,,0,,254232,,0,,0,,17424,,0,,0,,0,,0,,0,,36077,,0,,0,,No
"The Transit System, Inc.",Glen Rose,TX,6R05-016,6R05-60264,Other Publicly-Owned or Privately Chartered Corporation,Rural Reporter,0,24,DR,DO,24,,0,,20.08,, -   ,,1.25,,0,,0,,225759,,0,,0,,11241,,0,,0,,0,,0,,0,,14077,,0,,0,,No
"Chemung County, dba: C TRAN",Elmira,NY,2005,20005,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"67,983",24,MB,PT,17,,0,,19.51,, -   ,,10.52,,0,,0,,633858,,0,,0,,32485,,0,,0,,0,,0,,0,,341730,,0,,0,,No
Eaton County Transportation Authority,Charlotte,MI,5R03-028,5R03-50260,Independent Public Agency or Authority of Transit Service,Rural Reporter,0,24,DR,DO,22,,0,,18.79,, -   ,,2.58,,0,,0,,536788,,0,,0,,28563,,0,,0,,0,,0,,0,,73799,,0,,0,,No
Eaton County Transportation Authority,Charlotte,MI,5R03-028,5R03-50260,Independent Public Agency or Authority of Transit Service,Rural Reporter,0,24,MB,DO,2,,0,,30.06,, -   ,,1.08,,0,,0,,47737,,0,,0,,1588,,0,,0,,0,,0,,0,,1721,,0,,0,,No
"Chemung County, dba: C TRAN",Elmira,NY,2005,20005,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"67,983",24,DR,PT,7,,0,,15.68,, -   ,,2.38,,0,,0,,50378,,0,,0,,3213,,0,,0,,0,,0,,0,,7645,,0,,0,,No
Tulare County Area Transit,Visalia,CA,9R02-008,9R02-91055,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,24,MB,PT,19,,0,,28.06,, -   ,,6.73,,0,,0,,947350,,0,,0,,33767,,0,,0,,0,,0,,0,,227310,,0,,0,,No
Frankfort Transit System,Frankfort,KY,4R04-005,4R04-41120,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,24,MB,DO,4,,0,,9.1,, -   ,,5.12,,0,,0,,193467,,0,,0,,21250,,0,,0,,0,,0,,0,,108786,,0,,0,,No
Tulare County Area Transit,Visalia,CA,9R02-008,9R02-91055,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,24,DR,PT,5,,0,,18.1,, -   ,,1.61,,0,,0,,48168,,0,,0,,2661,,0,,0,,0,,0,,0,,4279,,0,,0,,No
Frankfort Transit System,Frankfort,KY,4R04-005,4R04-41120,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,24,DR,DO,20,,0,,7.02,, -   ,,0.86,,0,,0,,104363,,0,,0,,14870,,0,,0,,0,,0,,0,,12741,,0,,0,,No
"City of Brownsville, dba: Brownsville Metro (BMetro)",Brownsville,TX,6014,60014,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"217,585",24,MB,DO,16,,0,,12.34,,4.53, W ,17.5,,"742,556",,"743,717",,692674,,"51,043",,"58,852",,56142,,"2,710",,0,,0,,0,,0,,982477,,"4,455,093",W,168.5,,Yes
"City of Mankato, dba: Mankato Transit System",Mankato,MN,5205,50205,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"57,584",24,MB,DO,18,,0,,12.31,, -   ,,10.99,,0,,0,,328974,,0,,0,,26722,,0,,0,,0,,0,,0,,293625,,0,,0,,No
Roscommon County Transportation Authority,Prudenville,MI,5R03-059,5R03-50242,Independent Public Agency or Authority of Transit Service,Rural Reporter,0,24,DR,DO,24,,0,,20.13,, -   ,,2.5,,0,,0,,487947,,0,,0,,24238,,0,,0,,0,,0,,0,,60508,,0,,0,,No
"City of Brownsville, dba: Brownsville Metro (BMetro)",Brownsville,TX,6014,60014,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"217,585",24,DR,DO,8,,0,,10.33,,5.05,,1.77,,0,,"132,777",,115518,,"17,259",,"12,729",,11179,,"1,550",,0,,0,,0,,0,,19814,,"100,101",,0,,No
"City of Mankato, dba: Mankato Transit System",Mankato,MN,5205,50205,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"57,584",24,DR,DO,6,,0,,11.91,, -   ,,2.27,,0,,0,,57645,,0,,0,,4841,,0,,0,,0,,0,,0,,11003,,0,,0,,No
Mendocino Transit Authority,Ukiah,CA,9R02-047,9R02-91047,Independent Public Agency or Authority of Transit Service,Rural Reporter,0,24,MB,DO,19,,0,,20.4,, -   ,,6.44,,0,,0,,705227,,0,,0,,34574,,0,,0,,0,,0,,0,,222640,,0,,0,,No
County of Hunterdon,Flemington,NJ,2212,20212,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"18,351,295",24,MB,PT,10,,0,,17.43,, -   ,,1.97,,0,,0,,305527,,0,,0,,17533,,0,,0,,0,,0,,0,,34524,,0,,0,,No
Vermont Association for the Blind and Visually Impaired,South Burlington,VT,1R06-012,1R06-10174,Private-Non-Profit Corporation,Rural Reporter,0,24,DR,PT,1,,0,,7.33,, -   ,,0.67,,0,,0,,22,,0,,0,,3,,0,,0,,0,,0,,0,,2,,0,,0,,No
Mendocino Transit Authority,Ukiah,CA,9R02-047,9R02-91047,Independent Public Agency or Authority of Transit Service,Rural Reporter,0,24,DR,DO,5,,0,,7.58,, -   ,,2.86,,0,,0,,59719,,0,,0,,7879,,0,,0,,0,,0,,0,,22517,,0,,0,,No
County of Hunterdon,Flemington,NJ,2212,20212,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,"18,351,295",24,DR,PT,14,,0,,19.49,, -   ,,2.85,,0,,0,,253352,,0,,0,,13001,,0,,0,,0,,0,,0,,37005,,0,,0,,No
Vermont Association for the Blind and Visually Impaired,South Burlington,VT,1R06-012,1R06-10174,Private-Non-Profit Corporation,Rural Reporter,0,24,DR,DO,23,,0,,18.94,, -   ,,0.73,,0,,0,,78829,,0,,0,,4163,,0,,0,,0,,0,,0,,3025,,0,,0,,No
Murray-Calloway County Transit Authority,Murray,KY,4R04-011,4R04-41053,Independent Public Agency or Authority of Transit Service,Rural Reporter,0,24,MB,DO,3,,0,,11.57,, -   ,,4.5,,0,,0,,65860,,0,,0,,5690,,0,,0,,0,,0,,0,,25630,,0,,0,,No
"Clackamas County Social Services, dba: Mt. Hood Express",Oregon City,OR,0R02-039,0R02-00363,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,24,MB,PT,2,,0,,33.27,, -   ,,3.66,,0,,0,,47382,,0,,0,,1424,,0,,0,,0,,0,,0,,5208,,0,,0,,No
RiverCities Transit,Longview,WA,16,16,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"63,952",24,MB,DO,9,,0,,12.51,,4.27,,9.63,,"252,933",,"272,633",,265192,,"7,441",,"21,930",,21193,,737,,0,,0,,0,,0,,204103,,"871,520",,71,,No
Murray-Calloway County Transit Authority,Murray,KY,4R04-011,4R04-41053,Independent Public Agency or Authority of Transit Service,Rural Reporter,0,24,DR,DO,21,,0,,11.41,, -   ,,1.36,,0,,0,,451352,,0,,0,,39550,,0,,0,,0,,0,,0,,53658,,0,,0,,No
"Clackamas County Social Services, dba: Mt. Hood Express",Oregon City,OR,0R02-039,0R02-00363,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,24,DR,DO,19,,0,,13.32,, -   ,,2.06,,0,,0,,337643,,0,,0,,25347,,0,,0,,0,,0,,0,,52334,,0,,0,,No
RiverCities Transit,Longview,WA,16,16,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"63,952",24,DR,PT,15,,0,,7.93,,2.91,,1.93,,0,,"121,143",,107612,,"13,531",,"15,115",,13576,,"1,539",,0,,0,,0,,0,,26222,,"76,391",,0,,No
"Charlotte County Government, dba: Charlotte County Transit Division",Port Charlotte,FL,4129,40129,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"169,541",24,DR,PT,19,,0,,15.81,,8.37,,2.42,,0,,"607,212",,538051,,"69,161",,"38,201",,34027,,"4,174",,0,,0,,0,,0,,82376,,"689,094",,0,,No
"Clackamas County Social Services, dba: Mt. Hood Express",Oregon City,OR,0R02-039,0R02-00363,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,24,CB,PT,3,,0,,28.3,, -   ,,8.71,,0,,0,,189670,,0,,0,,6703,,0,,0,,0,,0,,0,,58402,,0,,0,,No
Perry County Transit,New Lexington,OH,5R05-066,5R05-50343,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,0,24,DR,DO,24,,0,,22.45,, -   ,,1.48,,0,,0,,682128,,0,,0,,30388,,0,,0,,0,,0,,0,,44920,,0,,0,,No
"Licking County, Ohio, dba: Licking County Transit Board",Newark,OH,5163,50163,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"76,068",24,DR,DO,24,,0,,22.23,,10.58,,1.72,,0,,"893,202",,755087,,"138,115",,"39,740",,33964,,"5,776",,0,,0,,0,,0,,58559,,"619,719",,0,,No
